route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
763,0,763,,Express - 85th Av - Brookdale Dr - Humboldt - Mpls,3,https://www.metrotransit.org/route/763,,000000,124
764,0,764,,Express - Winnetka Av - 42nd Av - Mpls,3,https://www.metrotransit.org/route/764,,000000,125
766,0,766,,Express - Anoka -  Champlin - W River Rd - Mpls,3,https://www.metrotransit.org/route/766,,000000,126
768,0,768,,Express - Noble P&R - Mpls,3,https://www.metrotransit.org/route/768,,000000,127
774,5,774,,Plymouth - Express - Station 73,3,https://www.metrotransit.org/route/774,,000000,128
776,5,776,,Plymouth - Express - Southwest Plymouth,3,https://www.metrotransit.org/route/776,,000000,129
777,5,777,,Plymouth - Express - NW Plymouth - Station 73,3,https://www.metrotransit.org/route/777,,000000,130
781,4,781,,Maple Grove - Express - Maple Grove Station,3,https://www.metrotransit.org/route/781,,000000,131
785,4,785,,Maple Grove - Express - Parkway Station,3,https://www.metrotransit.org/route/785,,000000,132
789,4,789,,Maple Grove - Express - Maple Grove Sta - U of M,3,https://www.metrotransit.org/route/789,,000000,133
790,5,790,,Plymouth - Express - Cub Foods - Four Seasons,3,https://www.metrotransit.org/route/790,,000000,134
795,5,795,,Plymouth - Express - Midday - Northeast Plymouth,3,https://www.metrotransit.org/route/795,,000000,135
801,2,801,,Brooklyn Ctr - Columbia Heights - Rosedale,3,https://www.metrotransit.org/route/801,,000000,136
804,2,804,,Silver Lake Village - Old Hwy 8 - Co Rd H P&R,3,https://www.metrotransit.org/route/804,,,137
805,2,805,,Anoka - Coon Rapids - Northtown,3,https://www.metrotransit.org/route/805,,000000,138
824,0,824,,Ltd Stop - Northtown - Monroe - University - Mpls,3,https://www.metrotransit.org/route/824,,000000,139
831,2,831,,117th Av - Polk - Northtown,3,https://www.metrotransit.org/route/831,,000000,140
850,0,850,,Express - Riverdale P&R - Foley P&R - Mpls,3,https://www.metrotransit.org/route/850,,000000,141
852,0,852,,Express - Anoka - Coon Rapids - Northtown - Mpls,3,https://www.metrotransit.org/route/852,,000000,142
